park_name,scientific_name,category,common_names,conservation_status,observations
Yellowstone,Clarkia williamsonii,Vascular Plant,Fort Miller Clarkia,Least Concern,230
Yosemite,Clarkia williamsonii,Vascular Plant,Fort Miller Clarkia,Least Concern,129
Bryce,Clasmatodon parvulus,Nonvascular Plant,Clasmatodon Moss,Least Concern,87
Great Smoky Mountains,Clasmatodon parvulus,Nonvascular Plant,Clasmatodon Moss,Least Concern,83
Yellowstone,Clasmatodon parvulus,Nonvascular Plant,Clasmatodon Moss,Least Concern,254
Yosemite,Clasmatodon parvulus,Nonvascular Plant,Clasmatodon Moss,Least Concern,167
Bryce,Claytonia caroliniana,Vascular Plant,Spring-Beauty,Least Concern,106
Great Smoky Mountains,Claytonia caroliniana,Vascular Plant,Spring-Beauty,Least Concern,74
Yellowstone,Claytonia caroliniana,Vascular Plant,Spring-Beauty,Least Concern,239
Yosemite,Claytonia caroliniana,Vascular Plant,Spring-Beauty,Least Concern,103
Bryce,Claytonia lanceolata,Vascular Plant,Lanceleaf Springbeauty,Least Concern,127
Great Smoky Mountains,Claytonia lanceolata,Vascular Plant,Lanceleaf Springbeauty,Least Concern,73
Yellowstone,Claytonia lanceolata,Vascular Plant,Lanceleaf Springbeauty,Least Concern,254
Yosemite,Claytonia lanceolata,Vascular Plant,Lanceleaf Springbeauty,Least Concern,163
Bryce,Claytonia megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,98
Great Smoky Mountains,Claytonia megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,104
Yellowstone,Claytonia megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,245
Yosemite,Claytonia megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,167
Bryce,Claytonia megarhiza var. megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,92
Great Smoky Mountains,Claytonia megarhiza var. megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,102
Yellowstone,Claytonia megarhiza var. megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,236
Yosemite,Claytonia megarhiza var. megarhiza,Vascular Plant,Alpine Springbeauty,Least Concern,144
Bryce,Claytonia nevadensis,Vascular Plant,Sierra Springbeauty,Least Concern,52
Great Smoky Mountains,Claytonia nevadensis,Vascular Plant,Sierra Springbeauty,Least Concern,39
Yellowstone,Claytonia nevadensis,Vascular Plant,Sierra Springbeauty,Least Concern,249
Yosemite,Claytonia nevadensis,Vascular Plant,Sierra Springbeauty,Least Concern,182
Bryce,Claytonia parviflora ssp. parviflora,Vascular Plant,Streambank Springbeauty,Least Concern,124
Great Smoky Mountains,Claytonia parviflora ssp. parviflora,Vascular Plant,Streambank Springbeauty,Least Concern,123
Yellowstone,Claytonia parviflora ssp. parviflora,Vascular Plant,Streambank Springbeauty,Least Concern,250
Yosemite,Claytonia parviflora ssp. parviflora,Vascular Plant,Streambank Springbeauty,Least Concern,157
Bryce,Claytonia perfoliata ssp. perfoliata,Vascular Plant,Miner's Lettuce,Least Concern,95
Great Smoky Mountains,Claytonia perfoliata ssp. perfoliata,Vascular Plant,Miner's Lettuce,Least Concern,70
Yellowstone,Claytonia perfoliata ssp. perfoliata,Vascular Plant,Miner's Lettuce,Least Concern,285
Yosemite,Claytonia perfoliata ssp. perfoliata,Vascular Plant,Miner's Lettuce,Least Concern,156
Bryce,Claytonia rubra ssp. rubra,Vascular Plant,Redstem Springbeauty,Least Concern,105
Great Smoky Mountains,Claytonia rubra ssp. rubra,Vascular Plant,Redstem Springbeauty,Least Concern,41
Yellowstone,Claytonia rubra ssp. rubra,Vascular Plant,Redstem Springbeauty,Least Concern,238
Yosemite,Claytonia rubra ssp. rubra,Vascular Plant,Redstem Springbeauty,Least Concern,135
Bryce,Claytonia virginica,Vascular Plant,Narrow-Leaved Spring-Beauty,Least Concern,135
Great Smoky Mountains,Claytonia virginica,Vascular Plant,Narrow-Leaved Spring-Beauty,Least Concern,62
Yellowstone,Claytonia virginica,Vascular Plant,Narrow-Leaved Spring-Beauty,Least Concern,263
Yosemite,Claytonia virginica,Vascular Plant,Narrow-Leaved Spring-Beauty,Least Concern,146
Bryce,Claytonia virginica var. acutiflora,Vascular Plant,Virginia Springbeauty,Least Concern,63
Great Smoky Mountains,Claytonia virginica var. acutiflora,Vascular Plant,Virginia Springbeauty,Least Concern,89
Yellowstone,Claytonia virginica var. acutiflora,Vascular Plant,Virginia Springbeauty,Least Concern,236
Yosemite,Claytonia virginica var. acutiflora,Vascular Plant,Virginia Springbeauty,Least Concern,172
Bryce,Cleistes bifaria,Vascular Plant,Cleistes,Least Concern,79
Great Smoky Mountains,Cleistes bifaria,Vascular Plant,Cleistes,Least Concern,68
Yellowstone,Cleistes bifaria,Vascular Plant,Cleistes,Least Concern,250
Yosemite,Cleistes bifaria,Vascular Plant,Cleistes,Least Concern,144
Bryce,Cleistes divaricata,Vascular Plant,Spreading Pogonia,Least Concern,98
Great Smoky Mountains,Cleistes divaricata,Vascular Plant,Spreading Pogonia,Least Concern,55
Yellowstone,Cleistes divaricata,Vascular Plant,Spreading Pogonia,Least Concern,236
Yosemite,Cleistes divaricata,Vascular Plant,Spreading Pogonia,Least Concern,177
Bryce,Clematis dioica,Vascular Plant,Cabellos De Angel,Least Concern,67
Great Smoky Mountains,Clematis dioica,Vascular Plant,Cabellos De Angel,Least Concern,60
Yellowstone,Clematis dioica,Vascular Plant,Cabellos De Angel,Least Concern,268
Yosemite,Clematis dioica,Vascular Plant,Cabellos De Angel,Least Concern,140
Bryce,Clematis glaucophylla,Vascular Plant,Waxy-Leaved Clematis,Least Concern,123
Great Smoky Mountains,Clematis glaucophylla,Vascular Plant,Waxy-Leaved Clematis,Least Concern,83
Yellowstone,Clematis glaucophylla,Vascular Plant,Waxy-Leaved Clematis,Least Concern,242
Yosemite,Clematis glaucophylla,Vascular Plant,Waxy-Leaved Clematis,Least Concern,159
Bryce,Clematis hirsutissima var. hirsutissima,Vascular Plant,Hairy Clematis,Least Concern,127
Great Smoky Mountains,Clematis hirsutissima var. hirsutissima,Vascular Plant,Hairy Clematis,Least Concern,81
Yellowstone,Clematis hirsutissima var. hirsutissima,Vascular Plant,Hairy Clematis,Least Concern,280
Yosemite,Clematis hirsutissima var. hirsutissima,Vascular Plant,Hairy Clematis,Least Concern,148
Bryce,Clematis lasiantha,Vascular Plant,Pipestem Clematis,Least Concern,103
Great Smoky Mountains,Clematis lasiantha,Vascular Plant,Pipestem Clematis,Least Concern,67
Yellowstone,Clematis lasiantha,Vascular Plant,Pipestem Clematis,Least Concern,266
Yosemite,Clematis lasiantha,Vascular Plant,Pipestem Clematis,Least Concern,155
Bryce,Clematis ligusticifolia,Vascular Plant,Western White Clematis,Least Concern,85
Great Smoky Mountains,Clematis ligusticifolia,Vascular Plant,Western White Clematis,Least Concern,108
Yellowstone,Clematis ligusticifolia,Vascular Plant,Western White Clematis,Least Concern,250
Yosemite,Clematis ligusticifolia,Vascular Plant,Western White Clematis,Least Concern,140
Bryce,Clematis occidentalis var. grosseserrata,Vascular Plant,Western Blue Virginsbower,Least Concern,133
Great Smoky Mountains,Clematis occidentalis var. grosseserrata,Vascular Plant,Western Blue Virginsbower,Least Concern,105
Yellowstone,Clematis occidentalis var. grosseserrata,Vascular Plant,Western Blue Virginsbower,Least Concern,247
Yosemite,Clematis occidentalis var. grosseserrata,Vascular Plant,Western Blue Virginsbower,Least Concern,162
Bryce,Clematis ochroleuca,Vascular Plant,Curlyheads,Least Concern,118
Great Smoky Mountains,Clematis ochroleuca,Vascular Plant,Curlyheads,Least Concern,92
Yellowstone,Clematis ochroleuca,Vascular Plant,Curlyheads,Least Concern,252
Yosemite,Clematis ochroleuca,Vascular Plant,Curlyheads,Least Concern,173
Bryce,Clematis terniflora,Vascular Plant,Clematis,Least Concern,104
Great Smoky Mountains,Clematis terniflora,Vascular Plant,Clematis,Least Concern,54
Yellowstone,Clematis terniflora,Vascular Plant,Clematis,Least Concern,243
Yosemite,Clematis terniflora,Vascular Plant,Clematis,Least Concern,154
Bryce,Clematis viorna,Vascular Plant,Vase-Vine Leather-Flower,Least Concern,60
Great Smoky Mountains,Clematis viorna,Vascular Plant,Vase-Vine Leather-Flower,Least Concern,91
Yellowstone,Clematis viorna,Vascular Plant,Vase-Vine Leather-Flower,Least Concern,242
Yosemite,Clematis viorna,Vascular Plant,Vase-Vine Leather-Flower,Least Concern,164
Bryce,Clematis virginiana,Vascular Plant,Virgin's Bower,Least Concern,122
Great Smoky Mountains,Clematis virginiana,Vascular Plant,Virgin's Bower,Least Concern,88
Yellowstone,Clematis virginiana,Vascular Plant,Virgin's Bower,Least Concern,248
Yosemite,Clematis virginiana,Vascular Plant,Virgin's Bower,Least Concern,137
Bryce,Clemmys muhlenbergii,Reptile,Bog Turtle,Least Concern,82
Great Smoky Mountains,Clemmys muhlenbergii,Reptile,Bog Turtle,Least Concern,108
Yellowstone,Clemmys muhlenbergii,Reptile,Bog Turtle,Least Concern,229
Yosemite,Clemmys muhlenbergii,Reptile,Bog Turtle,Least Concern,137
Bryce,Cleome hassleriana,Vascular Plant,Spider Flower,Least Concern,120
Great Smoky Mountains,Cleome hassleriana,Vascular Plant,Spider Flower,Least Concern,71
Yellowstone,Cleome hassleriana,Vascular Plant,Spider Flower,Least Concern,239
Yosemite,Cleome hassleriana,Vascular Plant,Spider Flower,Least Concern,122
Bryce,Cleome serrulata,Vascular Plant,Rocky Mountain Beeplant,Least Concern,130
Great Smoky Mountains,Cleome serrulata,Vascular Plant,Rocky Mountain Beeplant,Least Concern,79
Yellowstone,Cleome serrulata,Vascular Plant,Rocky Mountain Beeplant,Least Concern,229
Yosemite,Cleome serrulata,Vascular Plant,Rocky Mountain Beeplant,Least Concern,141
Bryce,Clethra acuminata,Vascular Plant,Mountain Pepper-Bush,Least Concern,68
Great Smoky Mountains,Clethra acuminata,Vascular Plant,Mountain Pepper-Bush,Least Concern,86
Yellowstone,Clethra acuminata,Vascular Plant,Mountain Pepper-Bush,Least Concern,222
Yosemite,Clethra acuminata,Vascular Plant,Mountain Pepper-Bush,Least Concern,148
Bryce,Clethrionomys gapperi,Mammal,Southern Red-Backed Vole,Least Concern,133
Great Smoky Mountains,Clethrionomys gapperi,Mammal,Southern Red-Backed Vole,Least Concern,93
Yellowstone,Clethrionomys gapperi,Mammal,Southern Red-Backed Vole,Least Concern,253
Yosemite,Clethrionomys gapperi,Mammal,Southern Red-Backed Vole,Least Concern,121
Bryce,Clethrionomys gapperi gapperi,Mammal,Gapper's Red-Backed Vole,Least Concern,130
Great Smoky Mountains,Clethrionomys gapperi gapperi,Mammal,Gapper's Red-Backed Vole,Least Concern,98
Yellowstone,Clethrionomys gapperi gapperi,Mammal,Gapper's Red-Backed Vole,Least Concern,270
Yosemite,Clethrionomys gapperi gapperi,Mammal,Gapper's Red-Backed Vole,Least Concern,117
Bryce,Climacium americanum,Nonvascular Plant,American Climacium Moss,Least Concern,99
Great Smoky Mountains,Climacium americanum,Nonvascular Plant,American Climacium Moss,Least Concern,54
Yellowstone,Climacium americanum,Nonvascular Plant,American Climacium Moss,Least Concern,225
Yosemite,Climacium americanum,Nonvascular Plant,American Climacium Moss,Least Concern,154
Bryce,Climacium kindbergii,Nonvascular Plant,Kindberg's Climacium Moss,Least Concern,86
Great Smoky Mountains,Climacium kindbergii,Nonvascular Plant,Kindberg's Climacium Moss,Least Concern,45
Yellowstone,Climacium kindbergii,Nonvascular Plant,Kindberg's Climacium Moss,Least Concern,287
Yosemite,Climacium kindbergii,Nonvascular Plant,Kindberg's Climacium Moss,Least Concern,161
Bryce,Clinopodium vulgare,Vascular Plant,Basil,Least Concern,111
Great Smoky Mountains,Clinopodium vulgare,Vascular Plant,Basil,Least Concern,87
Yellowstone,Clinopodium vulgare,Vascular Plant,Basil,Least Concern,255
Yosemite,Clinopodium vulgare,Vascular Plant,Basil,Least Concern,127
Bryce,Clinostomus funduloides,Fish,Rosyside Dace,Least Concern,103
Great Smoky Mountains,Clinostomus funduloides,Fish,Rosyside Dace,Least Concern,96
Yellowstone,Clinostomus funduloides,Fish,Rosyside Dace,Least Concern,265
Yosemite,Clinostomus funduloides,Fish,Rosyside Dace,Least Concern,163
Bryce,Clinostomus sp. 1,Fish,Smoky Dace,Least Concern,79
Great Smoky Mountains,Clinostomus sp. 1,Fish,Smoky Dace,Least Concern,88
Yellowstone,Clinostomus sp. 1,Fish,Smoky Dace,Least Concern,280
Yosemite,Clinostomus sp. 1,Fish,Smoky Dace,Least Concern,180
Bryce,Clintonia borealis,Vascular Plant,Clinton Lily,Least Concern,113
Great Smoky Mountains,Clintonia borealis,Vascular Plant,Clinton Lily,Least Concern,68
Yellowstone,Clintonia borealis,Vascular Plant,Clinton Lily,Least Concern,261
Yosemite,Clintonia borealis,Vascular Plant,Clinton Lily,Least Concern,171
Bryce,Clintonia umbellulata,Vascular Plant,White Clintonia,Least Concern,144
Great Smoky Mountains,Clintonia umbellulata,Vascular Plant,White Clintonia,Least Concern,61
Yellowstone,Clintonia umbellulata,Vascular Plant,White Clintonia,Least Concern,224
Yosemite,Clintonia umbellulata,Vascular Plant,White Clintonia,Least Concern,166
Bryce,Clintonia uniflora,Vascular Plant,Bride's Bonnet,Least Concern,125
Great Smoky Mountains,Clintonia uniflora,Vascular Plant,Bride's Bonnet,Least Concern,73
Yellowstone,Clintonia uniflora,Vascular Plant,Bride's Bonnet,Least Concern,227
Yosemite,Clintonia uniflora,Vascular Plant,Bride's Bonnet,Least Concern,140
Bryce,Clitoria mariana,Vascular Plant,Maryland Butterfly-Pea,Least Concern,122
Great Smoky Mountains,Clitoria mariana,Vascular Plant,Maryland Butterfly-Pea,Least Concern,69
Yellowstone,Clitoria mariana,Vascular Plant,Maryland Butterfly-Pea,Least Concern,244
Yosemite,Clitoria mariana,Vascular Plant,Maryland Butterfly-Pea,Least Concern,162
Bryce,Cnemidophorus sexlineatus sexlineatus,Reptile,Eastern Six-Lined Racerunner,Least Concern,125
Great Smoky Mountains,Cnemidophorus sexlineatus sexlineatus,Reptile,Eastern Six-Lined Racerunner,Least Concern,67
Yellowstone,Cnemidophorus sexlineatus sexlineatus,Reptile,Eastern Six-Lined Racerunner,Least Concern,229
Yosemite,Cnemidophorus sexlineatus sexlineatus,Reptile,Eastern Six-Lined Racerunner,Least Concern,174
Bryce,Cnicus benedictus,Vascular Plant,Blessed-Thistle,Least Concern,65
Great Smoky Mountains,Cnicus benedictus,Vascular Plant,Blessed-Thistle,Least Concern,73
Yellowstone,Cnicus benedictus,Vascular Plant,Blessed-Thistle,Least Concern,255
Yosemite,Cnicus benedictus,Vascular Plant,Blessed-Thistle,Least Concern,108
Bryce,Coccothraustes vespertinus,Bird,Evening Grosbeak,Least Concern,91
Great Smoky Mountains,Coccothraustes vespertinus,Bird,Evening Grosbeak,Least Concern,63
Yellowstone,Coccothraustes vespertinus,Bird,Evening Grosbeak,Least Concern,217
Yosemite,Coccothraustes vespertinus,Bird,Evening Grosbeak,Least Concern,164
Bryce,Cocculus carolinus,Vascular Plant,Coralbead,Least Concern,86
Great Smoky Mountains,Cocculus carolinus,Vascular Plant,Coralbead,Least Concern,86
Yellowstone,Cocculus carolinus,Vascular Plant,Coralbead,Least Concern,260
Yosemite,Cocculus carolinus,Vascular Plant,Coralbead,Least Concern,142
Bryce,Coccyzus americanus,Bird,Yellow-Billed Cuckoo,Least Concern,104
Great Smoky Mountains,Coccyzus americanus,Bird,Yellow-Billed Cuckoo,Least Concern,80
Yellowstone,Coccyzus americanus,Bird,Yellow-Billed Cuckoo,Least Concern,257
Yosemite,Coccyzus americanus,Bird,Yellow-Billed Cuckoo,Least Concern,154
Bryce,Coccyzus erythropthalmus,Bird,Black-Billed Cuckoo,Species of Concern,74
Great Smoky Mountains,Coccyzus erythropthalmus,Bird,Black-Billed Cuckoo,Species of Concern,87
Yellowstone,Coccyzus erythropthalmus,Bird,Black-Billed Cuckoo,Species of Concern,220
Yosemite,Coccyzus erythropthalmus,Bird,Black-Billed Cuckoo,Species of Concern,127
Bryce,Coeloglossum viride var. virescens,Vascular Plant,Long-Bract Green Orchis,Least Concern,95
Great Smoky Mountains,Coeloglossum viride var. virescens,Vascular Plant,Long-Bract Green Orchis,Least Concern,85
Yellowstone,Coeloglossum viride var. virescens,Vascular Plant,Long-Bract Green Orchis,Least Concern,240
Yosemite,Coeloglossum viride var. virescens,Vascular Plant,Long-Bract Green Orchis,Least Concern,152
Bryce,Colaptes auratus,Bird,Northern Flicker,Least Concern,93
Great Smoky Mountains,Colaptes auratus,Bird,Northern Flicker,Least Concern,94
Yellowstone,Colaptes auratus,Bird,Northern Flicker,Least Concern,238
Yosemite,Colaptes auratus,Bird,Northern Flicker,Least Concern,137
Bryce,Colinus virginianus,Bird,Northern Bobwhite,Least Concern,53
Great Smoky Mountains,Colinus virginianus,Bird,Northern Bobwhite,Least Concern,83
Yellowstone,Colinus virginianus,Bird,Northern Bobwhite,Least Concern,238
Yosemite,Colinus virginianus,Bird,Northern Bobwhite,Least Concern,177
Bryce,Collinsia bartsiifolia var. davidsonii,Vascular Plant,Davidson's Blue Eyed Mary,Least Concern,95
Great Smoky Mountains,Collinsia bartsiifolia var. davidsonii,Vascular Plant,Davidson's Blue Eyed Mary,Least Concern,89
Yellowstone,Collinsia bartsiifolia var. davidsonii,Vascular Plant,Davidson's Blue Eyed Mary,Least Concern,240
Yosemite,Collinsia bartsiifolia var. davidsonii,Vascular Plant,Davidson's Blue Eyed Mary,Least Concern,136
Bryce,Collinsia childii,Vascular Plant,Child's Blue Eyed Mary,Least Concern,74
Great Smoky Mountains,Collinsia childii,Vascular Plant,Child's Blue Eyed Mary,Least Concern,100
Yellowstone,Collinsia childii,Vascular Plant,Child's Blue Eyed Mary,Least Concern,253
Yosemite,Collinsia childii,Vascular Plant,Child's Blue Eyed Mary,Least Concern,136
Bryce,Collinsia heterophylla,Vascular Plant,Purple Chinese Houses,Least Concern,102
Great Smoky Mountains,Collinsia heterophylla,Vascular Plant,Purple Chinese Houses,Least Concern,100
Yellowstone,Collinsia heterophylla,Vascular Plant,Purple Chinese Houses,Least Concern,228
Yosemite,Collinsia heterophylla,Vascular Plant,Purple Chinese Houses,Least Concern,148
Bryce,Collinsia linearis,Vascular Plant,Narrowleaf Blue Eyed Mary,Least Concern,103
Great Smoky Mountains,Collinsia linearis,Vascular Plant,Narrowleaf Blue Eyed Mary,Least Concern,54
Yellowstone,Collinsia linearis,Vascular Plant,Narrowleaf Blue Eyed Mary,Least Concern,281
Yosemite,Collinsia linearis,Vascular Plant,Narrowleaf Blue Eyed Mary,Least Concern,130
Bryce,Collinsia parviflora,Vascular Plant,Small-Flower Blue-Eyed Mary,Least Concern,75
Great Smoky Mountains,Collinsia parviflora,Vascular Plant,Small-Flower Blue-Eyed Mary,Least Concern,90
Yellowstone,Collinsia parviflora,Vascular Plant,Small-Flower Blue-Eyed Mary,Least Concern,257
Yosemite,Collinsia parviflora,Vascular Plant,Small-Flower Blue-Eyed Mary,Least Concern,182
Bryce,Collinsia tinctoria,Vascular Plant,Sticky Chinese Houses,Least Concern,78
Great Smoky Mountains,Collinsia tinctoria,Vascular Plant,Sticky Chinese Houses,Least Concern,78
Yellowstone,Collinsia tinctoria,Vascular Plant,Sticky Chinese Houses,Least Concern,248
Yosemite,Collinsia tinctoria,Vascular Plant,Sticky Chinese Houses,Least Concern,149
Bryce,Collinsia torreyi var. torreyi,Vascular Plant,Torrey's Blue-Eyed Mary,Least Concern,104
Great Smoky Mountains,Collinsia torreyi var. torreyi,Vascular Plant,Torrey's Blue-Eyed Mary,Least Concern,69
Yellowstone,Collinsia torreyi var. torreyi,Vascular Plant,Torrey's Blue-Eyed Mary,Least Concern,272
Yosemite,Collinsia torreyi var. torreyi,Vascular Plant,Torrey's Blue-Eyed Mary,Least Concern,136
Bryce,Collinsia torreyi var. wrightii,Vascular Plant,Wright's Blue Eyed Mary,Least Concern,62
Great Smoky Mountains,Collinsia torreyi var. wrightii,Vascular Plant,Wright's Blue Eyed Mary,Least Concern,76
Yellowstone,Collinsia torreyi var. wrightii,Vascular Plant,Wright's Blue Eyed Mary,Least Concern,189
Yosemite,Collinsia torreyi var. wrightii,Vascular Plant,Wright's Blue Eyed Mary,Least Concern,177
Bryce,Collinsonia canadensis,Vascular Plant,Stoneroot,Least Concern,132
Great Smoky Mountains,Collinsonia canadensis,Vascular Plant,Stoneroot,Least Concern,104
Yellowstone,Collinsonia canadensis,Vascular Plant,Stoneroot,Least Concern,255
Yosemite,Collinsonia canadensis,Vascular Plant,Stoneroot,Least Concern,160
Bryce,Collinsonia verticillata,Vascular Plant,Whorled Horsebalm,Least Concern,90
Great Smoky Mountains,Collinsonia verticillata,Vascular Plant,Whorled Horsebalm,Least Concern,50
Yellowstone,Collinsonia verticillata,Vascular Plant,Whorled Horsebalm,Least Concern,223
Yosemite,Collinsonia verticillata,Vascular Plant,Whorled Horsebalm,Least Concern,126
Bryce,Collomia grandiflora,Vascular Plant,Largeflowered Collomia,Least Concern,106
Great Smoky Mountains,Collomia grandiflora,Vascular Plant,Largeflowered Collomia,Least Concern,71
Yellowstone,Collomia grandiflora,Vascular Plant,Largeflowered Collomia,Least Concern,238
Yosemite,Collomia grandiflora,Vascular Plant,Largeflowered Collomia,Least Concern,164
Bryce,Collomia heterophylla,Vascular Plant,Variableleaf Collomia,Least Concern,99
Great Smoky Mountains,Collomia heterophylla,Vascular Plant,Variableleaf Collomia,Least Concern,49
Yellowstone,Collomia heterophylla,Vascular Plant,Variableleaf Collomia,Least Concern,241
Yosemite,Collomia heterophylla,Vascular Plant,Variableleaf Collomia,Least Concern,133
Bryce,Collomia linearis,Vascular Plant,Tiny Trumpet,Least Concern,79
Great Smoky Mountains,Collomia linearis,Vascular Plant,Tiny Trumpet,Least Concern,74
Yellowstone,Collomia linearis,Vascular Plant,Tiny Trumpet,Least Concern,248
Yosemite,Collomia linearis,Vascular Plant,Tiny Trumpet,Least Concern,164
Bryce,Collomia tinctoria,Vascular Plant,Yellowstain Collomia,Least Concern,81
Great Smoky Mountains,Collomia tinctoria,Vascular Plant,Yellowstain Collomia,Least Concern,10
Yellowstone,Collomia tinctoria,Vascular Plant,Yellowstain Collomia,Least Concern,242
Yosemite,Collomia tinctoria,Vascular Plant,Yellowstain Collomia,Least Concern,208
Bryce,Coluber constrictor,Reptile,Racer,Least Concern,71
Great Smoky Mountains,Coluber constrictor,Reptile,Racer,Least Concern,73
Yellowstone,Coluber constrictor,Reptile,Racer,Least Concern,272
Yosemite,Coluber constrictor,Reptile,Racer,Least Concern,112
Bryce,Coluber constrictor constrictor,Reptile,Northern Black Racer,Least Concern,83
Great Smoky Mountains,Coluber constrictor constrictor,Reptile,Northern Black Racer,Least Concern,35
Yellowstone,Coluber constrictor constrictor,Reptile,Northern Black Racer,Least Concern,253
Yosemite,Coluber constrictor constrictor,Reptile,Northern Black Racer,Least Concern,123
Bryce,Coluber mormon,Reptile,Western Yellow-Bellied Racer,Least Concern,86
Great Smoky Mountains,Coluber mormon,Reptile,Western Yellow-Bellied Racer,Least Concern,96
Yellowstone,Coluber mormon,Reptile,Western Yellow-Bellied Racer,Least Concern,260
Yosemite,Coluber mormon,Reptile,Western Yellow-Bellied Racer,Least Concern,148
Bryce,Columba livia,Bird,Rock Pigeon,Least Concern,339
Great Smoky Mountains,Columba livia,Bird,Rock Pigeon,Least Concern,169
Yellowstone,Columba livia,Bird,Rock Pigeon,Least Concern,722
Yosemite,Columba livia,Bird,Rock Pigeon,Least Concern,423
Bryce,Comandra umbellata,Vascular Plant,Bastard Toadflax,Least Concern,128
Great Smoky Mountains,Comandra umbellata,Vascular Plant,Bastard Toadflax,Least Concern,42
Yellowstone,Comandra umbellata,Vascular Plant,Bastard Toadflax,Least Concern,242
Yosemite,Comandra umbellata,Vascular Plant,Bastard Toadflax,Least Concern,145
Bryce,Comandra umbellata ssp. californica,Vascular Plant,California Bastard Toadflax,Least Concern,108
Great Smoky Mountains,Comandra umbellata ssp. californica,Vascular Plant,California Bastard Toadflax,Least Concern,75
Yellowstone,Comandra umbellata ssp. californica,Vascular Plant,California Bastard Toadflax,Least Concern,238
Yosemite,Comandra umbellata ssp. californica,Vascular Plant,California Bastard Toadflax,Least Concern,152
Bryce,Commelina communis,Vascular Plant,Common Dayflower,Least Concern,110
Great Smoky Mountains,Commelina communis,Vascular Plant,Common Dayflower,Least Concern,70
Yellowstone,Commelina communis,Vascular Plant,Common Dayflower,Least Concern,241
Yosemite,Commelina communis,Vascular Plant,Common Dayflower,Least Concern,127
Bryce,Commelina diffusa,Vascular Plant,Dayflower,Least Concern,89
Great Smoky Mountains,Commelina diffusa,Vascular Plant,Dayflower,Least Concern,63
Yellowstone,Commelina diffusa,Vascular Plant,Dayflower,Least Concern,263
Yosemite,Commelina diffusa,Vascular Plant,Dayflower,Least Concern,152
Bryce,Commelina erecta,Vascular Plant,Slender Dayflower,Least Concern,112
Great Smoky Mountains,Commelina erecta,Vascular Plant,Slender Dayflower,Least Concern,62
Yellowstone,Commelina erecta,Vascular Plant,Slender Dayflower,Least Concern,224
Yosemite,Commelina erecta,Vascular Plant,Slender Dayflower,Least Concern,131
Bryce,Commelina virginica,Vascular Plant,Virginia Day-Flower,Least Concern,108
Great Smoky Mountains,Commelina virginica,Vascular Plant,Virginia Day-Flower,Least Concern,82
Yellowstone,Commelina virginica,Vascular Plant,Virginia Day-Flower,Least Concern,230
Yosemite,Commelina virginica,Vascular Plant,Virginia Day-Flower,Least Concern,149
Bryce,Comptonia peregrina,Vascular Plant,Sweet Fern,Least Concern,50
Great Smoky Mountains,Comptonia peregrina,Vascular Plant,Sweet Fern,Least Concern,37
Yellowstone,Comptonia peregrina,Vascular Plant,Sweet Fern,Least Concern,247
Yosemite,Comptonia peregrina,Vascular Plant,Sweet Fern,Least Concern,140
Bryce,Condylura cristata,Mammal,Star-Nosed Mole,Least Concern,99
Great Smoky Mountains,Condylura cristata,Mammal,Star-Nosed Mole,Least Concern,70
Yellowstone,Condylura cristata,Mammal,Star-Nosed Mole,Least Concern,265
Yosemite,Condylura cristata,Mammal,Star-Nosed Mole,Least Concern,134
Bryce,Conimitella williamsii,Vascular Plant,Williams' Miterwort,Least Concern,67
Great Smoky Mountains,Conimitella williamsii,Vascular Plant,Williams' Miterwort,Least Concern,68
Yellowstone,Conimitella williamsii,Vascular Plant,Williams' Miterwort,Least Concern,284
Yosemite,Conimitella williamsii,Vascular Plant,Williams' Miterwort,Least Concern,142
Bryce,Conium maculatum,Vascular Plant,Poison-Hemlock,Least Concern,237
Great Smoky Mountains,Conium maculatum,Vascular Plant,Poison-Hemlock,Least Concern,130
Yellowstone,Conium maculatum,Vascular Plant,Poison-Hemlock,Least Concern,527
Yosemite,Conium maculatum,Vascular Plant,Poison-Hemlock,Least Concern,318
Bryce,Conoclinium coelestinum,Vascular Plant,Blue Mistflower,Least Concern,73
Great Smoky Mountains,Conoclinium coelestinum,Vascular Plant,Blue Mistflower,Least Concern,89
Yellowstone,Conoclinium coelestinum,Vascular Plant,Blue Mistflower,Least Concern,226
Yosemite,Conoclinium coelestinum,Vascular Plant,Blue Mistflower,Least Concern,163
Bryce,Conopholis americana,Vascular Plant,Squaw-Root,Least Concern,108
Great Smoky Mountains,Conopholis americana,Vascular Plant,Squaw-Root,Least Concern,56
Yellowstone,Conopholis americana,Vascular Plant,Squaw-Root,Least Concern,241
Yosemite,Conopholis americana,Vascular Plant,Squaw-Root,Least Concern,155
Bryce,Conringia orientalis,Vascular Plant,Hare's-Ear Mustard,Least Concern,113
Great Smoky Mountains,Conringia orientalis,Vascular Plant,Hare's-Ear Mustard,Least Concern,63
Yellowstone,Conringia orientalis,Vascular Plant,Hare's-Ear Mustard,Least Concern,277
